arm,policy,execution,current,endpoint,estimate,median,p95,observed_n,missing_n,unit
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,terminal_joint_success,0.37,,,100,0,proportion
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,Tail80_joint_success,0.28,,,100,0,proportion
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,ever_lock,0.7,,,100,0,proportion
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,first_TRACK_action_time,243.1428571428572,243.99999999999042,397.0000000000216,70,30,s
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,terminal_e_p,1.2057970493496872,0.738965755740318,3.7434135057310907,100,0,m
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,terminal_e_f,126.4886926099513,66.47190219462449,353.9463664933047,100,0,m
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,tail50_mean_e_p,1.345918577622934,0.8444513371986009,4.217329350441234,100,0,m
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,tail50_mean_e_f,154.6891785119044,142.29469863878444,352.4766376698711,100,0,m
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,decision_runtime_max_per_episode,1.2197733191892621,1.1920582499951706,1.5857253482467057,100,0,s
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,truth_invalid_TRACK_starts,0.2,,,100,0,count_per_episode
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,truth_invalid_TRACK_ends,0.19,,,100,0,count_per_episode
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,terminal_joint_success,0.37,,,100,0,proportion
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,Tail80_joint_success,0.28,,,100,0,proportion
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,ever_lock,0.7,,,100,0,proportion
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,first_TRACK_action_time,242.2857142857144,243.99999999999042,397.0000000000216,70,30,s
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,terminal_e_p,1.205100885516709,0.727697173899851,3.8351467421474545,100,0,m
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,terminal_e_f,125.74428790467455,66.08494350854684,351.3148666360202,100,0,m
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,tail50_mean_e_p,1.3401580419540569,0.8545141179003035,4.250249655247827,100,0,m
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,tail50_mean_e_f,153.6844808992191,142.41483279534813,350.9703030799538,100,0,m
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,decision_runtime_max_per_episode,1.2189498728896433,1.1778901250036142,1.618856631253584,100,0,s
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,truth_invalid_TRACK_starts,0.18,,,100,0,count_per_episode
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,truth_invalid_TRACK_ends,0.17,,,100,0,count_per_episode
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,terminal_joint_success,0.18,,,100,0,proportion
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,Tail80_joint_success,0.01,,,100,0,proportion
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,ever_lock,0.81,,,100,0,proportion
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,first_TRACK_action_time,212.88888888888795,243.99999999999042,424.0000000000279,81,19,s
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,terminal_e_p,0.9873278655365213,0.5490993107444304,3.5529907774988465,100,0,m
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,terminal_e_f,90.54040874437668,11.973269653083163,330.10618628095773,100,0,m
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,tail50_mean_e_p,1.0167792012786925,0.6222794432627874,3.1182741960803697,100,0,m
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,tail50_mean_e_f,112.18772368661978,50.57198960292435,326.4868675390444,100,0,m
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,decision_runtime_max_per_episode,1.2107210337398282,1.1694743539992487,1.501061125297201,100,0,s
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,truth_invalid_TRACK_starts,0.0,,,100,0,count_per_episode
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,truth_invalid_TRACK_ends,0.0,,,100,0,count_per_episode
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,terminal_joint_success,0.18,,,100,0,proportion
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,Tail80_joint_success,0.02,,,100,0,proportion
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,ever_lock,0.82,,,100,0,proportion
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,first_TRACK_action_time,208.878048780487,183.99999999999383,424.0000000000279,82,18,s
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,terminal_e_p,1.0199884912321928,0.5774144634731678,3.790821035159575,100,0,m
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,terminal_e_f,87.9852192302864,12.515199998829093,322.1084089774932,100,0,m
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,tail50_mean_e_p,1.048393451020535,0.6618933338877302,2.6341128028660385,100,0,m
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,tail50_mean_e_f,107.30237906182907,40.48599489639197,330.69308139547223,100,0,m
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,decision_runtime_max_per_episode,1.2365825125503034,1.1770932289982738,1.5544974020445805,100,0,s
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,truth_invalid_TRACK_starts,0.0,,,100,0,count_per_episode
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,truth_invalid_TRACK_ends,0.0,,,100,0,count_per_episode
belief_active__kinematic__no_current,belief_active,kinematic,no_current,terminal_joint_success,0.98,,,100,0,proportion
belief_active__kinematic__no_current,belief_active,kinematic,no_current,Tail80_joint_success,0.97,,,100,0,proportion
belief_active__kinematic__no_current,belief_active,kinematic,no_current,ever_lock,0.99,,,100,0,proportion
belief_active__kinematic__no_current,belief_active,kinematic,no_current,first_TRACK_action_time,97.97979797979667,93.99999999999893,123.99999999999723,99,1,s
belief_active__kinematic__no_current,belief_active,kinematic,no_current,terminal_e_p,0.6837842601445469,0.5777459891870589,1.3345758478671397,100,0,m
belief_active__kinematic__no_current,belief_active,kinematic,no_current,terminal_e_f,14.049671302877796,0.5713754927360284,1.6154806467381844,100,0,m
belief_active__kinematic__no_current,belief_active,kinematic,no_current,tail50_mean_e_p,0.6838842945816462,0.5695704464984248,1.4076884837001644,100,0,m
belief_active__kinematic__no_current,belief_active,kinematic,no_current,tail50_mean_e_f,12.885099415377622,0.6190021062033939,1.7166672555133975,100,0,m
belief_active__kinematic__no_current,belief_active,kinematic,no_current,decision_runtime_max_per_episode,1.2639972892301738,1.2359050000013667,1.6091810410467589,100,0,s
belief_active__kinematic__no_current,belief_active,kinematic,no_current,truth_invalid_TRACK_starts,0.0,,,100,0,count_per_episode
belief_active__kinematic__no_current,belief_active,kinematic,no_current,truth_invalid_TRACK_ends,0.0,,,100,0,count_per_episode
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,terminal_joint_success,0.99,,,100,0,proportion
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,Tail80_joint_success,0.98,,,100,0,proportion
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,ever_lock,0.99,,,100,0,proportion
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,first_TRACK_action_time,99.75757575757436,93.99999999999893,123.99999999999723,99,1,s
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,terminal_e_p,0.66158965599435,0.5440199519970622,1.467649732662762,100,0,m
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,terminal_e_f,15.018997883809352,0.5601926250383904,1.6510334180749382,100,0,m
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,tail50_mean_e_p,0.6541011148498788,0.5470979130709858,1.4241496475153437,100,0,m
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,tail50_mean_e_f,13.122205711708089,0.6019074740435224,1.9308973702481231,100,0,m
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,decision_runtime_max_per_episode,1.2819790286998614,1.2154223545003333,1.703295520847314,100,0,s
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,truth_invalid_TRACK_starts,0.0,,,100,0,count_per_episode
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,truth_invalid_TRACK_ends,0.0,,,100,0,count_per_episode
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,terminal_joint_success,0.36,,,100,0,proportion
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,Tail80_joint_success,0.02,,,100,0,proportion
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,ever_lock,0.99,,,100,0,proportion
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,first_TRACK_action_time,101.87878787878635,93.99999999999893,123.99999999999723,99,1,s
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,terminal_e_p,0.49258087181259447,0.40511839681974454,1.0073793658674108,100,0,m
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,terminal_e_f,32.30764136380671,9.485164989042946,13.085177726858571,100,0,m
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,tail50_mean_e_p,0.506201729911879,0.4246780531640589,1.0827902367546798,100,0,m
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,tail50_mean_e_f,31.36342250949442,9.245935339220118,32.02129876549663,100,0,m
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,decision_runtime_max_per_episode,1.2163306599802308,1.1875360004960385,1.4759459309472729,100,0,s
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,truth_invalid_TRACK_starts,0.0,,,100,0,count_per_episode
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,truth_invalid_TRACK_ends,0.0,,,100,0,count_per_episode
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,terminal_joint_success,0.34,,,100,0,proportion
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,Tail80_joint_success,0.03,,,100,0,proportion
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,ever_lock,1.0,,,100,0,proportion
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,first_TRACK_action_time,101.63999999999847,93.99999999999893,183.99999999999383,100,0,s
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,terminal_e_p,0.49205749522567716,0.4382244072095488,0.9057192635960267,100,0,m
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,terminal_e_f,12.382886706890043,9.221469718774848,17.70311358518405,100,0,m
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,tail50_mean_e_p,0.5139802637039922,0.44780212215728743,0.8873478598597399,100,0,m
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,tail50_mean_e_f,16.50296702127244,9.68502692796978,48.270446669514406,100,0,m
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,decision_runtime_max_per_episode,1.217878293749818,1.1979074794980988,1.5377607833488582,100,0,s
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,truth_invalid_TRACK_starts,0.0,,,100,0,count_per_episode
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,truth_invalid_TRACK_ends,0.0,,,100,0,count_per_episode
